N,Model,Coverage,Risk
5,RF,0.001,0.0
5,RF,0.01,0.0
5,RF,0.019,0.0
5,RF,0.028,0.0
5,RF,0.037,0.0
5,RF,0.046,0.0
5,RF,0.055,0.0
5,RF,0.064,0.0
5,RF,0.073,0.0
5,RF,0.082,0.0
5,RF,0.091,0.0
5,RF,0.1,0.0
5,RF,0.109,0.0
5,RF,0.118,0.0
5,RF,0.127,0.0
5,RF,0.136,0.0
5,RF,0.145,0.0
5,RF,0.154,0.0
5,RF,0.163,0.0061
5,RF,0.172,0.0058
5,RF,0.181,0.011
5,RF,0.19,0.0105
5,RF,0.199,0.0101
5,RF,0.208,0.0096
5,RF,0.217,0.0092
5,RF,0.226,0.0133
5,RF,0.235,0.0128
5,RF,0.244,0.0123
5,RF,0.253,0.0119
5,RF,0.262,0.0153
5,RF,0.271,0.0185
5,RF,0.28,0.0179
5,RF,0.289,0.0208
5,RF,0.298,0.0235
5,RF,0.307,0.0261
5,RF,0.316,0.0253
5,RF,0.325,0.0246
5,RF,0.334,0.0269
5,RF,0.343,0.0262
5,RF,0.352,0.0256
5,RF,0.361,0.0249
5,RF,0.37,0.0243
5,RF,0.379,0.0237
5,RF,0.388,0.0232
5,RF,0.397,0.0227
5,RF,0.406,0.0222
5,RF,0.415,0.0217
5,RF,0.424,0.0212
5,RF,0.433,0.0208
5,RF,0.442,0.0204
5,RF,0.451,0.0222
5,RF,0.46,0.0217
5,RF,0.469,0.0235
5,RF,0.478,0.023
5,RF,0.487,0.0246
5,RF,0.496,0.0262
5,RF,0.506,0.0257
5,RF,0.515,0.0272
5,RF,0.524,0.0268
5,RF,0.533,0.032
5,RF,0.542,0.0314
5,RF,0.551,0.0309
5,RF,0.56,0.0304
5,RF,0.569,0.0317
5,RF,0.578,0.0329
5,RF,0.587,0.0375
5,RF,0.596,0.0387
5,RF,0.605,0.0397
5,RF,0.614,0.0408
5,RF,0.623,0.0434
5,RF,0.632,0.0523
5,RF,0.641,0.0531
5,RF,0.65,0.0555
5,RF,0.659,0.0547
5,RF,0.668,0.057
5,RF,0.677,0.0577
5,RF,0.686,0.0613
5,RF,0.695,0.0634
5,RF,0.704,0.0669
5,RF,0.713,0.0688
5,RF,0.722,0.0707
5,RF,0.731,0.0753
5,RF,0.74,0.0785
5,RF,0.749,0.0789
5,RF,0.758,0.0819
5,RF,0.767,0.0862
5,RF,0.776,0.089
5,RF,0.785,0.0906
5,RF,0.794,0.0933
5,RF,0.803,0.0948
5,RF,0.812,0.0999
5,RF,0.821,0.1012
5,RF,0.83,0.1049
5,RF,0.839,0.1074
5,RF,0.848,0.111
5,RF,0.857,0.1157
5,RF,0.866,0.1179
5,RF,0.875,0.1213
5,RF,0.884,0.1268
5,RF,0.893,0.13
5,RF,0.902,0.1354
5,RF,0.911,0.1396
5,RF,0.92,0.1404
5,RF,0.929,0.1433
5,RF,0.938,0.143
5,RF,0.947,0.1448
5,RF,0.956,0.1476
5,RF,0.965,0.1515
5,RF,0.974,0.1572
5,RF,0.983,0.1599
5,RF,0.992,0.1625
5,HGB,0.001,0.0
5,HGB,0.01,0.0
5,HGB,0.019,0.0
5,HGB,0.028,0.0
5,HGB,0.037,0.0
5,HGB,0.046,0.0
5,HGB,0.055,0.0
5,HGB,0.064,0.0
5,HGB,0.073,0.0
5,HGB,0.082,0.0
5,HGB,0.091,0.011
5,HGB,0.1,0.01
5,HGB,0.109,0.0092
5,HGB,0.118,0.0085
5,HGB,0.127,0.0079
5,HGB,0.136,0.0147
5,HGB,0.145,0.0138
5,HGB,0.154,0.013
5,HGB,0.163,0.0184
5,HGB,0.172,0.0174
5,HGB,0.181,0.0166
5,HGB,0.19,0.0158
5,HGB,0.199,0.0151
5,HGB,0.208,0.0144
5,HGB,0.217,0.0184
5,HGB,0.226,0.0177
5,HGB,0.235,0.017
5,HGB,0.244,0.0164
5,HGB,0.253,0.0198
5,HGB,0.262,0.0191
5,HGB,0.271,0.0185
5,HGB,0.28,0.0214
5,HGB,0.289,0.0242
5,HGB,0.298,0.0235
5,HGB,0.307,0.0228
5,HGB,0.316,0.0222
5,HGB,0.325,0.0215
5,HGB,0.334,0.024
5,HGB,0.343,0.0233
5,HGB,0.352,0.0227
5,HGB,0.361,0.0222
5,HGB,0.37,0.0243
5,HGB,0.379,0.0264
5,HGB,0.388,0.0284
5,HGB,0.397,0.0302
5,HGB,0.406,0.0296
5,HGB,0.415,0.0313
5,HGB,0.424,0.033
5,HGB,0.433,0.0346
5,HGB,0.442,0.0339
5,HGB,0.451,0.0333
5,HGB,0.46,0.0348
5,HGB,0.469,0.0341
5,HGB,0.478,0.0356
5,HGB,0.487,0.037
5,HGB,0.496,0.0383
5,HGB,0.506,0.0396
5,HGB,0.515,0.0447
5,HGB,0.524,0.0459
5,HGB,0.533,0.047
5,HGB,0.542,0.0481
5,HGB,0.551,0.0509
5,HGB,0.56,0.0537
5,HGB,0.569,0.0546
5,HGB,0.578,0.0607
5,HGB,0.587,0.0666
5,HGB,0.596,0.0672
5,HGB,0.605,0.0679
5,HGB,0.614,0.0701
5,HGB,0.623,0.0707
5,HGB,0.632,0.0713
5,HGB,0.641,0.0719
5,HGB,0.65,0.074
5,HGB,0.659,0.0745
5,HGB,0.668,0.075
5,HGB,0.677,0.0769
5,HGB,0.686,0.0788
5,HGB,0.695,0.0793
5,HGB,0.704,0.0853
5,HGB,0.713,0.0871
5,HGB,0.722,0.0929
5,HGB,0.731,0.0945
5,HGB,0.74,0.1001
5,HGB,0.749,0.1016
5,HGB,0.758,0.1017
5,HGB,0.767,0.1031
5,HGB,0.776,0.1071
5,HGB,0.785,0.1135
5,HGB,0.794,0.1185
5,HGB,0.803,0.1197
5,HGB,0.812,0.1184
5,HGB,0.821,0.1195
5,HGB,0.83,0.1218
5,HGB,0.839,0.1241
5,HGB,0.848,0.1251
5,HGB,0.857,0.1273
5,HGB,0.866,0.1295
5,HGB,0.875,0.1293
5,HGB,0.884,0.1359
5,HGB,0.893,0.139
5,HGB,0.902,0.1398
5,HGB,0.911,0.1451
5,HGB,0.92,0.148
5,HGB,0.929,0.1519
5,HGB,0.938,0.1526
5,HGB,0.947,0.1533
5,HGB,0.956,0.155
5,HGB,0.965,0.1577
5,HGB,0.974,0.1593
5,HGB,0.983,0.1609
5,HGB,0.992,0.1635
5,XGB,0.001,0.0
5,XGB,0.01,0.0
5,XGB,0.019,0.0
5,XGB,0.028,0.0
5,XGB,0.037,0.0
5,XGB,0.046,0.0
5,XGB,0.055,0.0
5,XGB,0.064,0.0
5,XGB,0.073,0.0
5,XGB,0.082,0.0
5,XGB,0.091,0.0
5,XGB,0.1,0.01
5,XGB,0.109,0.0092
5,XGB,0.118,0.0085
5,XGB,0.127,0.0079
5,XGB,0.136,0.0074
5,XGB,0.145,0.0069
5,XGB,0.154,0.0065
5,XGB,0.163,0.0061
5,XGB,0.172,0.0058
5,XGB,0.181,0.0055
5,XGB,0.19,0.0105
5,XGB,0.199,0.0151
5,XGB,0.208,0.0144
5,XGB,0.217,0.0138
5,XGB,0.226,0.0133
5,XGB,0.235,0.017
5,XGB,0.244,0.0205
5,XGB,0.253,0.0237
5,XGB,0.262,0.0229
5,XGB,0.271,0.0221
5,XGB,0.28,0.0214
5,XGB,0.289,0.0208
5,XGB,0.298,0.0201
5,XGB,0.307,0.0195
5,XGB,0.316,0.019
5,XGB,0.325,0.0215
5,XGB,0.334,0.024
5,XGB,0.343,0.0233
5,XGB,0.352,0.0227
5,XGB,0.361,0.0222
5,XGB,0.37,0.0216
5,XGB,0.379,0.0211
5,XGB,0.388,0.0206
5,XGB,0.397,0.0202
5,XGB,0.406,0.0222
5,XGB,0.415,0.0217
5,XGB,0.424,0.0212
5,XGB,0.433,0.0208
5,XGB,0.442,0.0226
5,XGB,0.451,0.0244
5,XGB,0.46,0.0239
5,XGB,0.469,0.0256
5,XGB,0.478,0.0251
5,XGB,0.487,0.0246
5,XGB,0.496,0.0282
5,XGB,0.506,0.0277
5,XGB,0.515,0.0272
5,XGB,0.524,0.0268
5,XGB,0.533,0.032
5,XGB,0.542,0.0314
5,XGB,0.551,0.0345
5,XGB,0.56,0.0358
5,XGB,0.569,0.0352
5,XGB,0.578,0.0347
5,XGB,0.587,0.0358
5,XGB,0.596,0.037
5,XGB,0.605,0.0397
5,XGB,0.614,0.0424
5,XGB,0.623,0.0434
5,XGB,0.632,0.0475
5,XGB,0.641,0.0484
5,XGB,0.65,0.0508
5,XGB,0.659,0.0502
5,XGB,0.668,0.0525
5,XGB,0.677,0.0562
5,XGB,0.686,0.0613
5,XGB,0.695,0.0663
5,XGB,0.704,0.0697
5,XGB,0.713,0.0772
5,XGB,0.722,0.0818
5,XGB,0.731,0.0849
5,XGB,0.74,0.0853
5,XGB,0.749,0.0909
5,XGB,0.758,0.0938
5,XGB,0.767,0.0979
5,XGB,0.776,0.1006
5,XGB,0.785,0.102
5,XGB,0.794,0.1034
5,XGB,0.803,0.106
5,XGB,0.812,0.1085
5,XGB,0.821,0.1122
5,XGB,0.83,0.1158
5,XGB,0.839,0.1205
5,XGB,0.848,0.124
5,XGB,0.857,0.1297
5,XGB,0.866,0.1318
5,XGB,0.875,0.1327
5,XGB,0.884,0.1359
5,XGB,0.893,0.139
5,XGB,0.902,0.1432
5,XGB,0.911,0.1473
5,XGB,0.92,0.1502
5,XGB,0.929,0.1498
5,XGB,0.938,0.1515
5,XGB,0.947,0.1533
5,XGB,0.956,0.1529
5,XGB,0.965,0.1556
5,XGB,0.974,0.1593
5,XGB,0.983,0.1619
5,XGB,0.992,0.1645
5,Persistence,0.001,0.0
5,Persistence,0.01,0.0
5,Persistence,0.019,0.0
5,Persistence,0.028,0.0
5,Persistence,0.037,0.0
5,Persistence,0.046,0.0
5,Persistence,0.055,0.0
5,Persistence,0.064,0.0156
5,Persistence,0.073,0.0274
5,Persistence,0.082,0.0366
5,Persistence,0.091,0.033
5,Persistence,0.1,0.03
5,Persistence,0.109,0.0275
5,Persistence,0.118,0.0254
5,Persistence,0.127,0.0236
5,Persistence,0.136,0.0221
5,Persistence,0.145,0.0207
5,Persistence,0.154,0.0195
5,Persistence,0.163,0.0184
5,Persistence,0.172,0.0174
5,Persistence,0.181,0.0166
5,Persistence,0.19,0.0158
5,Persistence,0.199,0.0151
5,Persistence,0.208,0.024
5,Persistence,0.217,0.023
5,Persistence,0.226,0.0221
5,Persistence,0.235,0.0213
5,Persistence,0.244,0.0205
5,Persistence,0.253,0.0198
5,Persistence,0.262,0.0229
5,Persistence,0.271,0.0221
5,Persistence,0.28,0.0214
5,Persistence,0.289,0.0242
5,Persistence,0.298,0.0235
5,Persistence,0.307,0.0228
5,Persistence,0.316,0.0222
5,Persistence,0.325,0.0215
5,Persistence,0.334,0.021
5,Persistence,0.343,0.0233
5,Persistence,0.352,0.0227
5,Persistence,0.361,0.0222
5,Persistence,0.37,0.0243
5,Persistence,0.379,0.0237
5,Persistence,0.388,0.0232
5,Persistence,0.397,0.0252
5,Persistence,0.406,0.0271
5,Persistence,0.415,0.0313
5,Persistence,0.424,0.033
5,Persistence,0.433,0.0346
5,Persistence,0.442,0.0362
5,Persistence,0.451,0.0399
5,Persistence,0.46,0.0391
5,Persistence,0.469,0.0405
5,Persistence,0.478,0.0418
5,Persistence,0.487,0.0431
5,Persistence,0.496,0.0423
5,Persistence,0.506,0.0416
5,Persistence,0.515,0.0409
5,Persistence,0.524,0.044
5,Persistence,0.533,0.0451
5,Persistence,0.542,0.0481
5,Persistence,0.551,0.0509
5,Persistence,0.56,0.0537
5,Persistence,0.569,0.0546
5,Persistence,0.578,0.0555
5,Persistence,0.587,0.0563
5,Persistence,0.596,0.0605
5,Persistence,0.605,0.0613
5,Persistence,0.614,0.0636
5,Persistence,0.623,0.0643
5,Persistence,0.632,0.065
5,Persistence,0.641,0.0656
5,Persistence,0.65,0.0663
5,Persistence,0.659,0.0653
5,Persistence,0.668,0.066
5,Persistence,0.677,0.071
5,Persistence,0.686,0.073
5,Persistence,0.695,0.0749
5,Persistence,0.704,0.0768
5,Persistence,0.713,0.0801
5,Persistence,0.722,0.0818
5,Persistence,0.731,0.0836
5,Persistence,0.74,0.0853
5,Persistence,0.749,0.0842
5,Persistence,0.758,0.0845
5,Persistence,0.767,0.0888
5,Persistence,0.776,0.0916
5,Persistence,0.785,0.0906
5,Persistence,0.794,0.0946
5,Persistence,0.803,0.0985
5,Persistence,0.812,0.0974
5,Persistence,0.821,0.0988
5,Persistence,0.83,0.0977
5,Persistence,0.839,0.1026
5,Persistence,0.848,0.1051
5,Persistence,0.857,0.1063
5,Persistence,0.866,0.111
5,Persistence,0.875,0.1121
5,Persistence,0.884,0.1144
5,Persistence,0.893,0.1166
5,Persistence,0.902,0.1188
5,Persistence,0.911,0.1231
5,Persistence,0.92,0.1284
5,Persistence,0.929,0.1336
5,Persistence,0.938,0.1366
5,Persistence,0.947,0.1416
5,Persistence,0.956,0.1466
5,Persistence,0.965,0.1515
5,Persistence,0.974,0.1542
5,Persistence,0.983,0.1578
5,Persistence,0.992,0.1615
10,RF,0.001,0.0
10,RF,0.01,0.0
10,RF,0.019,0.0
10,RF,0.028,0.0
10,RF,0.037,0.0
10,RF,0.046,0.0217
10,RF,0.055,0.0182
10,RF,0.064,0.0156
10,RF,0.073,0.0274
10,RF,0.082,0.0488
10,RF,0.091,0.044
10,RF,0.1,0.04
10,RF,0.109,0.0367
10,RF,0.118,0.0339
10,RF,0.127,0.0315
10,RF,0.136,0.0294
10,RF,0.145,0.0345
10,RF,0.154,0.0325
10,RF,0.163,0.0307
10,RF,0.172,0.0291
10,RF,0.181,0.0276
10,RF,0.19,0.0263
10,RF,0.199,0.0251
10,RF,0.208,0.024
10,RF,0.217,0.023
10,RF,0.226,0.0221
10,RF,0.235,0.0213
10,RF,0.244,0.0205
10,RF,0.254,0.0277
10,RF,0.263,0.0267
10,RF,0.272,0.0258
10,RF,0.281,0.025
10,RF,0.29,0.0242
10,RF,0.299,0.0268
10,RF,0.308,0.0293
10,RF,0.317,0.0316
10,RF,0.326,0.0308
10,RF,0.335,0.0299
10,RF,0.344,0.035
10,RF,0.353,0.0341
10,RF,0.362,0.036
10,RF,0.371,0.0351
10,RF,0.38,0.0343
10,RF,0.389,0.0361
10,RF,0.398,0.0378
10,RF,0.407,0.0394
10,RF,0.416,0.041
10,RF,0.425,0.0519
10,RF,0.434,0.0554
10,RF,0.443,0.0588
10,RF,0.452,0.0599
10,RF,0.461,0.0587
10,RF,0.47,0.0618
10,RF,0.479,0.0628
10,RF,0.488,0.0637
10,RF,0.497,0.0665
10,RF,0.506,0.0673
10,RF,0.515,0.0681
10,RF,0.524,0.0688
10,RF,0.533,0.0771
10,RF,0.542,0.0795
10,RF,0.551,0.0818
10,RF,0.56,0.0841
10,RF,0.569,0.0827
10,RF,0.578,0.0884
10,RF,0.587,0.0939
10,RF,0.596,0.0958
10,RF,0.605,0.101
10,RF,0.614,0.1044
10,RF,0.623,0.1045
10,RF,0.632,0.1062
10,RF,0.641,0.1062
10,RF,0.65,0.1094
10,RF,0.659,0.1185
10,RF,0.668,0.1184
10,RF,0.677,0.1183
10,RF,0.686,0.1212
10,RF,0.695,0.1225
10,RF,0.704,0.1266
10,RF,0.713,0.1278
10,RF,0.722,0.1262
10,RF,0.731,0.1288
10,RF,0.74,0.1286
10,RF,0.749,0.1283
10,RF,0.759,0.1308
10,RF,0.768,0.1332
10,RF,0.777,0.1329
10,RF,0.786,0.1378
10,RF,0.795,0.1375
10,RF,0.804,0.1397
10,RF,0.813,0.143
10,RF,0.822,0.1463
10,RF,0.831,0.152
10,RF,0.84,0.1527
10,RF,0.849,0.1558
10,RF,0.858,0.16
10,RF,0.867,0.1642
10,RF,0.876,0.1648
10,RF,0.885,0.1665
10,RF,0.894,0.1704
10,RF,0.903,0.1709
10,RF,0.912,0.1747
10,RF,0.921,0.1774
10,RF,0.93,0.1789
10,RF,0.939,0.1836
10,RF,0.948,0.1903
10,RF,0.957,0.1927
10,RF,0.966,0.1992
10,RF,0.975,0.2025
10,RF,0.984,0.2047
10,RF,0.993,0.2048
10,HGB,0.001,0.0
10,HGB,0.01,0.0
10,HGB,0.019,0.0
10,HGB,0.028,0.0
10,HGB,0.037,0.0
10,HGB,0.046,0.0
10,HGB,0.055,0.0
10,HGB,0.064,0.0
10,HGB,0.073,0.0
10,HGB,0.082,0.0122
10,HGB,0.091,0.022
10,HGB,0.1,0.02
10,HGB,0.109,0.0183
10,HGB,0.118,0.0169
10,HGB,0.127,0.0236
10,HGB,0.136,0.0221
10,HGB,0.145,0.0207
10,HGB,0.154,0.026
10,HGB,0.163,0.0245
10,HGB,0.172,0.0233
10,HGB,0.181,0.0221
10,HGB,0.19,0.0263
10,HGB,0.199,0.0251
10,HGB,0.208,0.0288
10,HGB,0.217,0.0276
10,HGB,0.226,0.0265
10,HGB,0.235,0.0255
10,HGB,0.244,0.0287
10,HGB,0.254,0.0316
10,HGB,0.263,0.0305
10,HGB,0.272,0.0332
10,HGB,0.281,0.0429
10,HGB,0.29,0.0519
10,HGB,0.299,0.0503
10,HGB,0.308,0.0521
10,HGB,0.317,0.0506
10,HGB,0.326,0.0492
10,HGB,0.335,0.0479
10,HGB,0.344,0.0466
10,HGB,0.353,0.0511
10,HGB,0.362,0.0526
10,HGB,0.371,0.0541
10,HGB,0.38,0.0554
10,HGB,0.389,0.0541
10,HGB,0.398,0.0529
10,HGB,0.407,0.0517
10,HGB,0.416,0.0506
10,HGB,0.425,0.0542
10,HGB,0.434,0.0531
10,HGB,0.443,0.0588
10,HGB,0.452,0.0599
10,HGB,0.461,0.0609
10,HGB,0.47,0.0618
10,HGB,0.479,0.0607
10,HGB,0.488,0.0657
10,HGB,0.497,0.0665
10,HGB,0.506,0.0673
10,HGB,0.515,0.0681
10,HGB,0.524,0.0746
10,HGB,0.533,0.0789
10,HGB,0.542,0.0795
10,HGB,0.551,0.08
10,HGB,0.56,0.0787
10,HGB,0.569,0.0775
10,HGB,0.578,0.0763
10,HGB,0.587,0.0751
10,HGB,0.596,0.0739
10,HGB,0.605,0.0762
10,HGB,0.614,0.0816
10,HGB,0.623,0.082
10,HGB,0.632,0.0824
10,HGB,0.641,0.0844
10,HGB,0.65,0.0878
10,HGB,0.659,0.0912
10,HGB,0.668,0.093
10,HGB,0.677,0.0947
10,HGB,0.686,0.0993
10,HGB,0.695,0.0994
10,HGB,0.704,0.1024
10,HGB,0.713,0.1081
10,HGB,0.722,0.1096
10,HGB,0.731,0.111
10,HGB,0.74,0.1177
10,HGB,0.749,0.119
10,HGB,0.759,0.1202
10,HGB,0.768,0.1266
10,HGB,0.777,0.1316
10,HGB,0.786,0.139
10,HGB,0.795,0.1438
10,HGB,0.804,0.1459
10,HGB,0.813,0.1455
10,HGB,0.822,0.1463
10,HGB,0.831,0.1496
10,HGB,0.84,0.1527
10,HGB,0.849,0.1594
10,HGB,0.858,0.1612
10,HGB,0.867,0.163
10,HGB,0.876,0.1636
10,HGB,0.885,0.1653
10,HGB,0.894,0.1704
10,HGB,0.903,0.1743
10,HGB,0.912,0.1769
10,HGB,0.921,0.1795
10,HGB,0.93,0.1832
10,HGB,0.939,0.1868
10,HGB,0.948,0.1903
10,HGB,0.957,0.1937
10,HGB,0.966,0.1971
10,HGB,0.975,0.2004
10,HGB,0.984,0.2037
10,HGB,0.993,0.2069
10,XGB,0.001,0.0
10,XGB,0.01,0.0
10,XGB,0.019,0.0
10,XGB,0.028,0.0
10,XGB,0.037,0.027
10,XGB,0.046,0.0435
10,XGB,0.055,0.0364
10,XGB,0.064,0.0312
10,XGB,0.073,0.0274
10,XGB,0.082,0.0244
10,XGB,0.091,0.022
10,XGB,0.1,0.02
10,XGB,0.109,0.0183
10,XGB,0.118,0.0169
10,XGB,0.127,0.0157
10,XGB,0.136,0.0221
10,XGB,0.145,0.0345
10,XGB,0.154,0.0455
10,XGB,0.163,0.0429
10,XGB,0.172,0.0407
10,XGB,0.181,0.0387
10,XGB,0.19,0.0368
10,XGB,0.199,0.0352
10,XGB,0.208,0.0433
10,XGB,0.217,0.0461
10,XGB,0.226,0.0487
10,XGB,0.235,0.0468
10,XGB,0.244,0.0533
10,XGB,0.254,0.0514
10,XGB,0.263,0.0573
10,XGB,0.272,0.0554
10,XGB,0.281,0.0536
10,XGB,0.29,0.0519
10,XGB,0.299,0.0503
10,XGB,0.308,0.0521
10,XGB,0.317,0.0538
10,XGB,0.326,0.0585
10,XGB,0.335,0.0569
10,XGB,0.344,0.0583
10,XGB,0.353,0.0597
10,XGB,0.362,0.0582
10,XGB,0.371,0.0595
10,XGB,0.38,0.058
10,XGB,0.389,0.0567
10,XGB,0.398,0.0605
10,XGB,0.407,0.064
10,XGB,0.416,0.0651
10,XGB,0.425,0.0637
10,XGB,0.434,0.0624
10,XGB,0.443,0.0611
10,XGB,0.452,0.0621
10,XGB,0.461,0.0652
10,XGB,0.47,0.064
10,XGB,0.479,0.0628
10,XGB,0.488,0.0657
10,XGB,0.497,0.0685
10,XGB,0.506,0.0673
10,XGB,0.515,0.07
10,XGB,0.524,0.0727
10,XGB,0.533,0.0752
10,XGB,0.542,0.0758
10,XGB,0.551,0.0782
10,XGB,0.56,0.0769
10,XGB,0.569,0.0775
10,XGB,0.578,0.078
10,XGB,0.587,0.0785
10,XGB,0.596,0.0824
10,XGB,0.605,0.0844
10,XGB,0.614,0.0865
10,XGB,0.623,0.09
10,XGB,0.632,0.0887
10,XGB,0.641,0.0922
10,XGB,0.65,0.0971
10,XGB,0.659,0.1003
10,XGB,0.668,0.1019
10,XGB,0.677,0.1036
10,XGB,0.686,0.108
10,XGB,0.695,0.1095
10,XGB,0.704,0.1124
10,XGB,0.713,0.1152
10,XGB,0.722,0.1179
10,XGB,0.731,0.1219
10,XGB,0.74,0.1204
10,XGB,0.749,0.119
10,XGB,0.759,0.1202
10,XGB,0.768,0.1279
10,XGB,0.777,0.1329
10,XGB,0.786,0.1352
10,XGB,0.795,0.1375
10,XGB,0.804,0.1434
10,XGB,0.813,0.148
10,XGB,0.822,0.1524
10,XGB,0.831,0.1532
10,XGB,0.84,0.1551
10,XGB,0.849,0.1582
10,XGB,0.858,0.1624
10,XGB,0.867,0.1653
10,XGB,0.876,0.1716
10,XGB,0.885,0.1733
10,XGB,0.894,0.1749
10,XGB,0.903,0.1754
10,XGB,0.912,0.178
10,XGB,0.921,0.1828
10,XGB,0.93,0.1843
10,XGB,0.939,0.19
10,XGB,0.948,0.1956
10,XGB,0.957,0.1979
10,XGB,0.966,0.2023
10,XGB,0.975,0.2045
10,XGB,0.984,0.2088
10,XGB,0.993,0.2079
10,Persistence,0.001,0.0
10,Persistence,0.01,0.1
10,Persistence,0.019,0.0526
10,Persistence,0.028,0.1071
10,Persistence,0.037,0.0811
10,Persistence,0.046,0.0652
10,Persistence,0.055,0.0545
10,Persistence,0.064,0.0625
10,Persistence,0.073,0.0685
10,Persistence,0.082,0.0854
10,Persistence,0.091,0.0769
10,Persistence,0.1,0.08
10,Persistence,0.109,0.0734
10,Persistence,0.118,0.0678
10,Persistence,0.127,0.063
10,Persistence,0.136,0.0588
10,Persistence,0.145,0.0552
10,Persistence,0.154,0.0584
10,Persistence,0.163,0.0552
10,Persistence,0.172,0.0523
10,Persistence,0.181,0.0497
10,Persistence,0.19,0.0474
10,Persistence,0.199,0.0503
10,Persistence,0.208,0.0529
10,Persistence,0.217,0.0553
10,Persistence,0.226,0.0531
10,Persistence,0.235,0.0511
10,Persistence,0.244,0.0492
10,Persistence,0.254,0.0514
10,Persistence,0.263,0.0496
10,Persistence,0.272,0.048
10,Persistence,0.281,0.0464
10,Persistence,0.29,0.0484
10,Persistence,0.299,0.047
10,Persistence,0.308,0.0456
10,Persistence,0.317,0.0443
10,Persistence,0.326,0.0462
10,Persistence,0.335,0.0479
10,Persistence,0.344,0.0525
10,Persistence,0.353,0.0568
10,Persistence,0.362,0.0582
10,Persistence,0.371,0.0649
10,Persistence,0.38,0.0633
10,Persistence,0.389,0.0619
10,Persistence,0.398,0.063
10,Persistence,0.407,0.0616
10,Persistence,0.416,0.0699
10,Persistence,0.425,0.0755
10,Persistence,0.434,0.0808
10,Persistence,0.443,0.0837
10,Persistence,0.452,0.0843
10,Persistence,0.461,0.0848
10,Persistence,0.47,0.0853
10,Persistence,0.479,0.09
10,Persistence,0.488,0.0945
10,Persistence,0.497,0.0968
10,Persistence,0.506,0.095
10,Persistence,0.515,0.1012
10,Persistence,0.524,0.1013
10,Persistence,0.533,0.1015
10,Persistence,0.542,0.1091
10,Persistence,0.551,0.1109
10,Persistence,0.56,0.1127
10,Persistence,0.569,0.1109
10,Persistence,0.578,0.1109
10,Persistence,0.587,0.116
10,Persistence,0.596,0.1193
10,Persistence,0.605,0.1192
10,Persistence,0.614,0.1191
10,Persistence,0.623,0.119
10,Persistence,0.632,0.122
10,Persistence,0.641,0.1219
10,Persistence,0.65,0.1217
10,Persistence,0.659,0.1261
10,Persistence,0.668,0.1244
10,Persistence,0.677,0.1228
10,Persistence,0.686,0.1241
10,Persistence,0.695,0.1254
10,Persistence,0.704,0.1266
10,Persistence,0.713,0.1306
10,Persistence,0.722,0.1318
10,Persistence,0.731,0.1356
10,Persistence,0.74,0.1353
10,Persistence,0.749,0.135
10,Persistence,0.759,0.1347
10,Persistence,0.768,0.1384
10,Persistence,0.777,0.1419
10,Persistence,0.786,0.1429
10,Persistence,0.795,0.145
10,Persistence,0.804,0.1484
10,Persistence,0.813,0.148
10,Persistence,0.822,0.1537
10,Persistence,0.831,0.1568
10,Persistence,0.84,0.1611
10,Persistence,0.849,0.1641
10,Persistence,0.858,0.1659
10,Persistence,0.867,0.1676
10,Persistence,0.876,0.1682
10,Persistence,0.885,0.171
10,Persistence,0.894,0.1738
10,Persistence,0.903,0.1765
10,Persistence,0.912,0.1769
10,Persistence,0.921,0.1795
10,Persistence,0.93,0.1832
10,Persistence,0.939,0.1857
10,Persistence,0.948,0.1892
10,Persistence,0.957,0.1948
10,Persistence,0.966,0.2002
10,Persistence,0.975,0.2025
10,Persistence,0.984,0.2037
10,Persistence,0.993,0.2089
15,RF,0.001,0.0
15,RF,0.01,0.0
15,RF,0.019,0.0
15,RF,0.028,0.0
15,RF,0.037,0.0
15,RF,0.046,0.0652
15,RF,0.055,0.0909
15,RF,0.064,0.0938
15,RF,0.073,0.0822
15,RF,0.082,0.0732
15,RF,0.091,0.0659
15,RF,0.1,0.06
15,RF,0.109,0.055
15,RF,0.118,0.0508
15,RF,0.127,0.0472
15,RF,0.136,0.0441
15,RF,0.145,0.0483
15,RF,0.154,0.0455
15,RF,0.163,0.0429
15,RF,0.173,0.0465
15,RF,0.182,0.0442
15,RF,0.191,0.0421
15,RF,0.2,0.0402
15,RF,0.209,0.0385
15,RF,0.218,0.0461
15,RF,0.227,0.0442
15,RF,0.236,0.0426
15,RF,0.245,0.0451
15,RF,0.254,0.0435
15,RF,0.263,0.0458
15,RF,0.272,0.0443
15,RF,0.281,0.0464
15,RF,0.29,0.0519
15,RF,0.299,0.057
15,RF,0.308,0.0586
15,RF,0.317,0.057
15,RF,0.326,0.0585
15,RF,0.335,0.0569
15,RF,0.344,0.0583
15,RF,0.353,0.0653
15,RF,0.362,0.0637
15,RF,0.371,0.0703
15,RF,0.38,0.0765
15,RF,0.389,0.0773
15,RF,0.398,0.0806
15,RF,0.407,0.0788
15,RF,0.416,0.0819
